Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
2016-02-01,338.75,342.4,332.25,335.25,338.5,6563774,2223478442.5,,,0.00474918373404587,0.8422493157501869
2016-02-02,343.8,344.7,327.7,329.0,329.55,9179304,3155844715.2000003,,,-0.02644017725258485,0.8199800945508836
2016-02-03,325.55,325.95,317.05,320.95,320.3,6685445,2176446619.75,,,-0.028068578364436325,0.7969644190097043
2016-02-04,325.3,329.3,321.2,327.05,325.5,6086981,1980094919.3,,,0.016234779893849582,0.8099029609355566
2016-02-05,330.5,339.0,326.65,336.7,337.1,9236577,3052688698.5,,,0.03563748079877116,0.8387658621547653
2016-02-08,334.95,334.95,321.35,322.45,323.5,6974342,2336055852.9,,,-0.0403441115396026,0.8049265986563825
2016-02-09,319.5,322.65,308.8,311.05,310.65,12489713,3990463303.5,,,-0.039721792890262786,0.77295347101269
2016-02-10,309.85,309.95,288.25,288.7,291.55,21756193,6741156401.05,,,-0.06148398519233855,0.725429211246579
2016-02-11,298.5,300.0,265.8,271.3,276.35,21632886,6457416471.0,,,-0.052135139770193795,0.6876088579248572
2016-02-12,281.0,303.95,271.6,296.05,298.35,21542152,6053344712.0,,,0.07960919124298904,0.7423488429957704
2016-02-15,297.9,320.75,297.7,316.05,317.25,18888699,5626943432.099999,,,0.06334841628959276,0.7893754665339641
2016-02-16,319.4,324.2,298.9,301.8,301.15,13598374,4343320655.599999,,,-0.05074862096138699,0.7493157501866139
2016-02-17,302.95,313.5,298.65,312.1,310.15,13717526,4155724501.7,,,0.029885439149925253,0.7717093804428965
2016-02-18,315.15,319.1,306.2,312.15,314.0,12498247,3938822542.0499997,,,0.012413348379816336,0.7812888778303064
2016-02-19,312.1,320.0,311.1,318.05,318.2,7706462,2405186790.2000003,,,0.013375796178343835,0.7917392386165716
2016-02-22,320.0,324.2,313.6,319.8,318.85,8699779,2783929280.0,,,0.0020427404148335437,0.7933565563573032
2016-02-23,324.0,324.75,314.45,317.5,318.55,11635881,3770025444.0,,,-0.0009408812921436471,0.792610102015427
2016-02-24,316.0,316.0,304.75,306.55,306.3,7629905,2411049980.0,,,-0.03845550149113164,0.7621298830554868
2016-02-25,309.8,312.2,296.2,299.7,298.2,12959812,4014949757.6000004,,,-0.026444662095984395,0.7419756158248323
2016-02-26,303.2,305.2,297.6,302.25,301.8,9181680,2783885376.0,,,0.012072434607645954,0.7509330679273454
2016-02-29,303.2,305.75,290.25,300.0,299.7,12607181,3822497279.2,,,-0.006958250497017926,0.7457078875342127
2016-03-01,301.1,317.0,301.1,315.0,315.35,11440045,3444597549.5000005,,,0.052218885552218985,0.7846479223687487
2016-03-02,322.9,326.0,314.35,316.55,317.1,12418149,4009820312.1,,,0.005549389567147678,0.7890022393630259
2016-03-03,324.5,339.8,321.5,337.0,336.7,12844057,4167896496.5,,,0.061810154525386185,0.8377705896989303
2016-03-04,340.15,348.75,338.65,343.45,343.5,8197520,2788386428.0,,,0.020196020196020292,0.8546902214481217
2016-03-08,346.5,353.75,341.5,345.5,346.05,7888999,2733538153.5,,,0.00742358078602634,0.8610350833540685
2016-03-09,339.9,349.0,336.0,347.75,347.7,6383925,2169896107.5,,,0.004768097095795287,0.865140582234387
2016-03-10,347.0,353.6,341.4,348.2,348.5,7443048,2582737656.0,,,0.0023008340523440474,0.8671311271460566
2016-03-11,348.5,355.9,345.15,353.35,354.25,7641330,2663003505.0,,,0.016499282639885315,0.8814381686986816
2016-03-14,359.9,370.55,358.95,365.5,366.45,13066837,4702754636.299999,333.36199999999997,,0.03443895553987297,0.9117939786016426
2016-03-15,366.9,370.7,359.55,361.2,360.4,9800731,3595888203.8999996,332.53200000000004,,-0.016509755764770095,0.8967404827071415
2016-03-16,359.95,362.75,353.3,362.0,359.55,7554537,2719255593.15,332.18199999999996,,-0.002358490566037652,0.8946255287384927
